   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   0    0   -3   5.113333  -114.734654    74.246900      136.663    5.44664    9.23693    1
   0    0    3   5.113333  -112.471921   -77.283281      136.465    5.44664    9.21022    1
   1    0    1   4.932875    41.675514     9.269998       42.694    5.64606    2.51633    3
   0    1   -1   4.932875    43.233844    -4.069642       43.425    5.64606    2.60322    3
   0    1    2   4.309510   -69.815460   -30.755722      76.2897    6.46356    6.12534    3
   1    0   -2   4.309510   -72.496314    25.914634      76.9889    6.46356    6.23813    3
   0    1   -4   3.088418     2.073403    35.594935      35.6553    9.02365    0.68408    3
   1    0    4   3.088418     3.019797   -33.715622      33.8506    9.02365    0.61658    3
   1    1    0   3.007750   -50.755426     1.414775      50.7751    9.26619    1.31508    3
  -1   -1    0   3.007750   -50.076725   -15.387546      52.3875    9.26619    1.39993    3
   1    0   -5   2.643628    14.760049  -102.783804      103.838   10.54587    4.23675    3
   0    1    5   2.643628    12.287382   101.298657      102.041   10.54587    4.09138    3
   1    1   -3   2.592503   262.861919   -23.093798      263.874   10.75444   26.29863    3
   1    1    3   2.592503  -480.712459  -183.523982      514.554   10.75444  100.00000    3
  -1   -1   -3   2.592503  -491.701673   147.455426      513.336   10.75444   99.52717    3
  -1   -1    3   2.592503   256.839498    49.864883      261.635   10.75444   25.85421    3
   0    2    1   2.568029   -96.873635   -56.718006      112.256   10.85724    4.66886    3
   2    0   -1   2.568029  -100.210620    50.104375      112.038   10.85724    4.65077    3
   0    0   -6   2.556667  -338.807075   188.610876      387.768   10.90564   18.40393    1
   0    0    6   2.556667  -321.910835  -220.108962      389.967   10.90564   18.61326    1
   2    0    2   2.466437    20.278362    46.707842      50.9199   11.30588    0.88515    3
   0    2   -2   2.466437    23.918636   -44.344127      50.3836   11.30588    0.86660    3
   0    2    4   2.154755  -109.356482   -10.842984      109.893   12.94781    3.13244    3
   2    0   -4   2.154755  -108.466629     2.816162      108.503   12.94781    3.05373    3
   0    1   -7   2.019986   -34.994138   -16.534264      38.7036   13.81573    0.34058    3
   1    0    7   2.019986   -32.622736    14.959615      35.8892   13.81573    0.29284    3
   0    2   -5   1.985652   144.556151  -108.422345      180.698   14.05581    7.16805    3
   2    0    5   1.985652   139.852331   119.199100      183.758   14.05581    7.41287    3
