   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   0    0    3   5.113333  -337.516690    -7.375883      337.597    5.44664   59.46755    2
   1    0    1   4.932875    39.705124     2.418383      39.7787    5.64606    2.30456    6
   0    1    2   4.309510     1.265727    -1.505008       1.9665    6.46356    0.00429    6
   1    0    4   3.088418   -41.692185    -1.420096      41.7164    9.02365    0.98792    6
   1    1    0   3.007750   -46.548605    -6.972418      47.0679    9.26619    1.19221    6
   0    1    5   2.643628   -56.763054    -0.842706      56.7693   10.54587    1.33598    6
   1    1    3   2.592503  -500.690136   -16.478266      500.961   10.75444  100.00000    6
   1    1   -3   2.592503   262.735892    15.673009      263.203   10.75444   27.60408    6
   0    2    1   2.568029   -48.006279    -1.320754      48.0244   10.85724    0.90151    6
   0    0    6   2.556667  -273.072032   -15.045127      273.486   10.90564    9.65806    2
   2    0    2   2.466437    62.971853     1.376864      62.9869   11.30588    1.42888    6
   0    2    4   2.154755   -65.333968    -2.561194      65.3842   12.94781    1.16989    6
   1    0    7   2.019986    56.484351     1.012535      56.4934   13.81573    0.76552    6
   2    0    5   1.985652     0.216913     1.443011      1.45922   14.05581    0.00049    6
   2    1    1   1.953011    42.143680     2.559489      42.2213   14.29194    0.39910    6
   1    2   -1   1.953011   -27.030928    -0.640689      27.0385   14.29194    0.16368    6
   1    1   -6   1.948000   141.802298     3.210971      141.839   14.32891    4.48052    6
   1    1    6   1.948000   446.527484    17.321500      446.863   14.32891   44.47217    6
   2    1   -2   1.907191    69.285576     2.018443       69.315   14.63717    1.02463    6
   1    2    2   1.907191   -29.504922    -2.591932      29.6186   14.63717    0.18709    6
   0    1    8   1.799477    66.593352     1.910951      66.6208   15.51857    0.84012    6
   2    1    4   1.751642  -110.140946    -4.946636      110.252   15.94507    2.17692    6
   1    2   -4   1.751642    12.983506     0.989453      13.0212   15.94507    0.03036    6
   3    0    0   1.736525   503.071155    19.681534      503.456   16.08479   44.59089    6
   0    0    9   1.704444   164.515014     9.796061      164.806   16.38960    1.53276    2
   0    2    7   1.676907   130.685990     4.901149      130.778   16.66064    2.79983    6
   2    1   -5   1.657108   -79.031404    -2.521224      79.0716   16.86114    0.99876    6
   1    2    5   1.657108    24.249890     2.570894      24.3858   16.86114    0.09499    6
   0    3    3   1.644292  -216.316250    -6.464262      216.413   16.99353    7.36251    6
   3    0    3   1.644292  -216.772778    -6.486843       216.87   16.99353    7.39364    6
   2    0    8   1.544209    -7.793541    -1.614065      7.95893   18.10388    0.00874    6
   2    2    0   1.503875   -11.162360    -5.057986      12.2549   18.59367    0.01962    6
   1    1    9   1.482893    43.231527     3.942427      43.4109   18.85914    0.23916    6
   1    1   -9   1.482893  -375.896898   -17.739581      376.315   18.85914   17.97191    6
   1    0   10   1.471531   -94.199047    -2.340701      94.2281   19.00610    1.10893    6
   2    1    7   1.464652    74.512799     2.439122      74.5527   19.09621    0.68744    6
   1    2   -7   1.464652    80.684527     2.760206      80.7317   19.09621    0.80611    6
   2    2    3   1.442769   155.696000    12.240385      156.176   19.38861    2.92362    6
   2    2   -3   1.442769  -343.567855   -13.915533       343.85   19.38861   14.17186    6
   3    1   -1   1.438509    90.204315     5.322207      90.3612   19.44659    0.97270    6
   1    3    1   1.438509    29.165019     2.120000       29.242   19.44659    0.10187    6
   3    0    6   1.436503  -165.248388   -11.779699      165.668   19.47401    3.26006    6
   0    3    6   1.436503  -165.437329   -11.789618      165.857   19.47401    3.26751    6
   1    3   -2   1.419902   -74.402566    -5.078230      74.5757   19.70395    0.64478    6
   3    1    2   1.419902    23.042676     0.065332      23.0428   19.70395    0.06156    6
   2    1   -8   1.373735    12.827280    -0.488697      12.8366   20.37309    0.01783    6
   1    2    8   1.373735    47.992994     1.397292      48.0133   20.37309    0.24943    6
   3    1   -4   1.352096   -85.207883    -4.311657      85.3169   20.70271    0.76182    6
   1    3    4   1.352096    34.246146     2.145276      34.3133   20.70271    0.12323    6
   0    1   11   1.347115   -38.191875    -1.224990      38.2115   20.78010    0.15164    6
   0    2   10   1.321814  -100.008370    -3.016930      100.054   21.18241    0.99912    6
   1    3   -5   1.307169    -4.254068     1.071417      4.38692   21.42252    0.00188    6
   3    1    5   1.307169  -101.204073    -4.259590      101.294   21.42252    1.00034    6
   4    0    1   1.297725    68.151001     4.358734      68.2902   21.58027    0.44779    6
   2    2    6   1.296252   107.625773     2.942006      107.666   21.60510    1.11040    6
   2    2   -6   1.296252   315.483975    14.421293      315.813   21.60510    9.55399    6
   0    4    2   1.284014   -36.300082    -3.150090      36.4365   21.81352    0.12466    6
   0    0   12   1.278333   180.092625     9.946873      180.367   21.91166    1.00877    2
   4    0    4   1.233219   -17.931080    -0.755282       17.947   22.72373    0.02777    6
   2    0   11   1.229436   -43.094895    -1.641715      43.1262   22.79457    0.15934    6
   3    0    9   1.216408   106.052540     7.646654      106.328   23.04204    0.94700    6
   0    3    9   1.216408   105.785851     7.631413      106.061   23.04204    0.94224    6
   1    2  -10   1.210113  -130.447875    -5.110701      130.548   23.16356    1.41196    6
   2    1   10   1.210113   -41.269979     0.000631        41.27   23.16356    0.14111    6
   3    1   -7   1.206278    17.425697    -0.309109      17.4284   23.23821    0.02500    6
   1    3    7   1.206278    19.118241    -0.211925      19.1194   23.23821    0.03008    6
   0    4    5   1.198845   -55.210009    -1.904329      55.2428   23.38433    0.24787    6
   3    2    1   1.191548   -62.659371    -3.022669      62.7322   23.52958    0.31552    6
   2    3   -1   1.191548   -25.183733    -0.855845      25.1983   23.52958    0.05091    6
   3    2   -2   1.180908    28.398354     0.531830      28.4033   23.74465    0.06346    6
   2    3    2   1.180908    73.930393     3.178050      73.9987   23.74465    0.43074    6
   1    1   12   1.176484  -230.292625   -13.474070      230.686   23.83524    4.15291    6
   1    1  -12   1.176484   114.371896     6.600523      114.562   23.83524    1.02421    6
   1    3   -8   1.153948    90.476157     4.220851      90.5746   24.30778    0.61440    6
   3    1    8   1.153948    52.214176     1.966956      52.2512   24.30778    0.20447    6
   1    0   13   1.150847   111.839494     3.468911      111.893   24.37427    0.93230    6
   2    3   -4   1.141032   -81.459532    -4.591810      81.5888   24.58720    0.48672    6
   3    2    4   1.141032   -21.502140    -1.036145      21.5271   24.58720    0.03388    6
   2    1  -11   1.138034     6.025891     1.135261       6.1319   24.65299    0.00273    6
   1    2   11   1.138034   -77.157359    -3.805567      77.2512   24.65299    0.43390    6
   1    4    0   1.136823     6.968385    -3.678134      7.87953   24.67968    0.00450    6
   4    1    0   1.136823     6.149569    -3.726801      7.19071   24.67968    0.00375    6
   2    2   -9   1.127678    23.784865     2.959214      23.9682   24.88301    0.04096    6
   2    2    9   1.127678  -271.544818   -14.679685      271.941   24.88301    5.27293    6
   4    0    7   1.119593     4.948120    -0.966887       5.0417   25.06560    0.00178    6
   3    2   -5   1.113642    37.210642     3.488198      37.3738   25.20174    0.09696    6
   2    3    5   1.113642   -16.565069     0.251659       16.567   25.20174    0.01905    6
   4    1    3   1.109727  -255.083333   -11.649958      255.349   25.29211    4.49231    6
   4    1   -3   1.109727    93.381745     9.368404      93.8505   25.29211    0.60684    6
   1    4    3   1.109727  -255.712368   -11.687900      255.979   25.29211    4.51451    6
